Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Subscriber Type
0h 7m 51s,6/30/2014 0:00,37th & O St NW / Georgetown University,31236,6/30/2014 0:08,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,W00584,Registered
12h 2m 56s,6/30/2014 0:00,Columbia Rd & Belmont St NW,31113,6/30/2014 12:03,Lamont & Mt Pleasant NW,31107,W01497,Registered
0h 12m 51s,6/30/2014 0:01,17th & Corcoran St NW,31214,6/30/2014 0:14,Park Rd & Holmead Pl NW,31602,W01099,Registered
0h 11m 46s,6/30/2014 0:01,Connecticut Ave & Newark St NW / Cleveland Park,31305,6/30/2014 0:12,14th & Rhode Island Ave NW,31203,W21642,Registered
0h 17m 5s,6/30/2014 0:01,Thomas Circle,31241,6/30/2014 0:18,7th & T St NW,31109,W00334,Registered
0h 11m 7s,6/30/2014 0:02,Calvert St & Woodley Pl NW,31121,6/30/2014 0:13,11th & Kenyon St NW,31102,W00295,Registered
0h 10m 51s,6/30/2014 0:03,Calvert St & Woodley Pl NW,31121,6/30/2014 0:13,11th & Kenyon St NW,31102,W20118,Registered
0h 22m 6s,6/30/2014 0:03,7th & R St NW / Shaw Library,31245,6/30/2014 0:25,Potomac & Pennsylvania Ave SE,31606,W20915,Registered
1h 22m 34s,6/30/2014 0:04,M St & Delaware Ave NE,31627,6/30/2014 1:27,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,31068,W20418,Casual
0h 14m 59s,6/30/2014 0:04,Lincoln Memorial,31258,6/30/2014 0:19,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,W00649,Casual
0h 21m 57s,6/30/2014 0:05,Lincoln Memorial,31258,6/30/2014 0:27,18th St & Pennsylvania Ave NW,31242,W20844,Casual
0h 3m 42s,6/30/2014 0:05,Adams Mill & Columbia Rd NW,31104,6/30/2014 0:09,Calvert St & Woodley Pl NW,31121,W01291,Registered
0h 21m 11s,6/30/2014 0:06,Lincoln Memorial,31258,6/30/2014 0:27,18th St & Pennsylvania Ave NW,31242,W01299,Casual
0h 5m 8s,6/30/2014 0:06,15th & Euclid St  NW,31117,6/30/2014 0:11,Park Rd & Holmead Pl NW,31602,W20683,Registered
0h 20m 41s,6/30/2014 0:06,Lincoln Memorial,31258,6/30/2014 0:27,18th St & Pennsylvania Ave NW,31242,W20042,Casual
0h 20m 7s,6/30/2014 0:07,Lincoln Memorial,31258,6/30/2014 0:27,18th St & Pennsylvania Ave NW,31242,W21008,Casual
0h 2m 51s,6/30/2014 0:07,8th & H St NW,31228,6/30/2014 0:10,5th & K St NW,31600,W20047,Registered
0h 5m 7s,6/30/2014 0:09,Columbia Rd & Belmont St NW,31113,6/30/2014 0:14,14th & Belmont St NW,31119,W00821,Registered
0h 10m 39s,6/30/2014 0:10,13th & H St NE,31611,6/30/2014 0:21,8th & East Capitol St NE,31629,W21680,Casual
0h 6m 25s,6/30/2014 0:12,14th & V St NW,31101,6/30/2014 0:18,11th & M St NW,31266,W00411,Registered
0h 3m 23s,6/30/2014 0:12,25th St & Pennsylvania Ave NW,31237,6/30/2014 0:15,21st & M St NW,31212,W20690,Registered
0h 12m 27s,6/30/2014 0:12,New Hampshire Ave & T St NW,31229,6/30/2014 0:25,11th & Kenyon St NW,31102,W01265,Registered
0h 7m 49s,6/30/2014 0:13,13th & H St NE,31611,6/30/2014 0:21,8th & East Capitol St NE,31629,W20976,Casual
0h 6m 54s,6/30/2014 0:14,25th St & Pennsylvania Ave NW,31237,6/30/2014 0:21,17th & Rhode Island Ave NW,31239,W21541,Registered
0h 28m 37s,6/30/2014 0:16,C & O Canal & Wisconsin Ave NW,31225,6/30/2014 0:45,USDA / 12th & Independence Ave SW,31217,W20549,Registered
0h 9m 49s,6/30/2014 0:17,3000 Connecticut Ave NW / National Zoo,31307,6/30/2014 0:27,36th & Calvert St NW / Glover Park,31304,W00962,Registered
