Duration,Start date,Start terminal,End terminal,Subscription Type
0h 5m 56s,7/1/2014 0:01,31408,32011,Registered
0h 18m 17s,7/1/2014 0:01,31227,31512,Registered
0h 0m 4s,7/1/2014 0:02,31612,31612,Registered
0h 3m 29s,7/1/2014 0:02,31038,31034,Registered
0h 2m 46s,7/1/2014 0:02,31616,31616,Registered
0h 6m 3s,7/1/2014 0:02,31104,31267,Registered
0h 13m 10s,7/1/2014 0:04,31506,31513,Registered
0h 33m 38s,7/1/2014 0:06,31265,31121,Registered
0h 0m 12s,7/1/2014 0:06,31212,31212,Registered
0h 0m 12s,7/1/2014 0:07,31212,31212,Registered
0h 39m 59s,7/1/2014 0:08,31249,31239,Casual
0h 6m 34s,7/1/2014 0:09,31241,31509,Registered
0h 11m 21s,7/1/2014 0:12,31624,31234,Registered
1h 16m 12s,7/1/2014 0:15,31260,31206,Casual
0h 6m 19s,7/1/2014 0:16,31248,31217,Registered
0h 4m 16s,7/1/2014 0:16,31020,31065,Registered
1h 15m 14s,7/1/2014 0:16,31260,31206,Casual
0h 4m 30s,7/1/2014 0:17,31618,31623,Registered
0h 27m 52s,7/1/2014 0:17,31204,31204,Casual
0h 15m 59s,7/1/2014 0:19,31212,31612,Registered
0h 25m 47s,7/1/2014 0:19,31204,31204,Casual
1h 10m 25s,7/1/2014 0:19,31215,31215,Casual
1h 54m 41s,7/1/2014 0:19,31257,31257,Casual
0h 25m 10s,7/1/2014 0:20,31204,31204,Casual
0h 9m 48s,7/1/2014 0:20,31106,31602,Registered
0h 11m 21s,7/1/2014 0:20,31263,31119,Registered
1h 54m 0s,7/1/2014 0:20,31257,31257,Casual
0h 11m 14s,7/1/2014 0:21,31200,31246,Registered
0h 11m 36s,7/1/2014 0:21,31628,31623,Registered
1h 9m 39s,7/1/2014 0:21,31204,31206,Casual
0h 17m 23s,7/1/2014 0:22,31101,31604,Casual
0h 7m 11s,7/1/2014 0:24,31233,31229,Registered
1h 6m 4s,7/1/2014 0:26,31204,31206,Casual
