name,player_id,country_id,birthdate
Aaron Egbele                            ,EGBELAAR01,NGR,1978-04-21
Aaron Peirsol                           ,PEIRSAAR01,USA,1978-08-26
Abderrahmane Hammad                     ,HAMMAABD01,ALG,1980-10-04
Adam Nelson                             ,NELSOADA01,USA,1984-10-13
Agnes Kovacs                            ,KOVACAGN01,HUN,1982-06-17
Ai Shibata                              ,SHIBAAI01 ,JPN,1975-11-22
Aigars Fadejevs                         ,FADEJAIG01,LAT,1973-12-04
Aissa Djabir Said-Guerni                ,SAIDGAIS01,ALG,1977-04-04
Aleen Bailey                            ,BAILEALE01,JAM,1974-10-11
Aleksander Tammert                      ,TAMMEALE01,EST,1975-01-10
Aleksandr Popov                         ,POPOVALE01,RUS,1971-01-25
Aleksey Voyevodin                       ,VOYEVALE01,RUS,1984-03-23
Ali Ezzine                              ,EZZINALI01,MAR,1971-12-26
Ali Saidi-Sief                          ,SAIDIALI01,ALG,1984-09-26
Alice Mills                             ,MILLSALI01,AUS,1975-02-17
Allyson Felix                           ,FELIXALL01,USA,1975-01-04
Alvin Harrison                          ,HARRIALV01,USA,1976-05-15
Amanda Beard                            ,BEARDAMA01,USA,1980-10-22
Amanda Weir                             ,WEIRAMA01 ,USA,1979-01-09
Amy van Dyken                           ,VANDYAMY01,USA,1983-07-26
Ana Guevara                             ,GUEVAANA01,MEX,1985-10-08
Anastasia Kelesidou                     ,KELESANA01,GRE,1973-06-02
Andre Silva                             ,SILVAAND01,BRA,1984-07-09
Andreas Thorkildsen                     ,THORKAND01,NOR,1978-08-15
Andriy Serdinov                         ,SERDIAND01,UKR,1979-07-08
Angelo Taylor                           ,TAYLOANG02,USA,1974-08-24
Anier Garcia                            ,GARCIANI01,CUB,1979-09-11
Anna Rogowska                           ,ROGOWANN01,POL,1983-12-08
Anna-Karin Kammerling                   ,KAMMEANN01,SWE,1971-01-17
Anne Poleska                            ,POLESANN01,GER,1978-11-06
Anthony Ervin                           ,ERVINANT01,USA,1972-02-14
Antje Buschschulte                      ,BUSCHANT01,GER,1971-02-19
Antonio Pettigrew                       ,PETTIANT01,USA,1976-03-21
Arsi Harju                              ,HARJUARS01,FIN,1973-10-17
Ashley Callus                           ,CALLUASH01,AUS,1972-02-22
Assefa Mezgebu                          ,MEZGEASS01,ETH,1979-12-21
Astrid Kumbernuss                       ,KUMBEAST01,GER,1979-12-26
Athanasia Tsoumeleka                    ,TSOUMATH01,GRE,1976-11-15
Ato Boldon                              ,BOLDOATO01,TRI,1985-02-10
Austra Skujyte                          ,SKUJYAUS01,LTU,1974-12-19
BJ Bedford                              ,BEDFOBJ01 ,USA,1981-04-08
Beatrice Caslaru                        ,CASLABEA01,ROM,1972-12-01
Bernard Lagat                           ,LAGATBER01,KEN,1977-09-17
Bernard Williams III                    ,WILLIBER02,USA,1978-05-02
Beverly McDonald                        ,MCDONBEV01,JAM,1978-07-21
Brahim Lahlafi                          ,LAHLABRA01,MAR,1980-04-11
Brendan Hansen                          ,HANSEBRE01,USA,1977-07-18
Brian Lewis                             ,LEWISBRI01,USA,1983-02-25
Brimin Kiprop                           ,KIPROBRI01,KEN,1977-05-14
Brooke Bennett                          ,BENNEBRO01,USA,1984-09-18
Brooke Hanson                           ,HANSOBRO01,AUS,1985-10-15
Bryan Clay                              ,CLAYBRY01 ,USA,1974-12-12
Calvin Harrison                         ,HARRICAL01,USA,1975-11-27
Camelia Potec                           ,POTECCAM01,ROM,1980-09-21
Carlos Jayme                            ,JAYMECAR01,BRA,1975-10-01
Carly Piper                             ,PIPERCAR01,USA,1984-06-01
Carolina Kluft                          ,KLUFTCAR01,SWE,1975-12-02
Catherine Ndereba                       ,NDERECAT01,KEN,1977-08-19
Catherine Scott-Pomales                 ,SCOTTCAT01,JAM,1985-02-21
Cathy Freeman                           ,FREEMCAT01,AUS,1978-07-07
Chandra Sturrup                         ,STURRCHA01,BAH,1980-02-02
Chantal Groot                           ,GROOTCHA01,NED,1981-04-13
Chris Fydler                            ,FYDLECHR01,AUS,1974-11-19
Chris Huffins                           ,HUFFICHR01,USA,1978-01-06
Chris Thompson                          ,THOMPCHR01,USA,1977-08-17
Chris Williams                          ,WILLICHR02,JAM,1971-12-18
Christian Olsson                        ,OLSSOCHR01,SWE,1978-03-25
Christine Arron                         ,ARRONCHR01,FRA,1983-04-11
Chryste Gaines                          ,GAINECHR01,USA,1973-01-22
Claudia Poll                            ,POLLCLA01 ,CRC,1972-06-10
Claudinei da Silva                      ,DASILCLA01,BRA,1982-12-22
Clement Chukwu                          ,CHUKWCLE01,NGR,1977-08-12
Clinton Hill                            ,HILLCLI01 ,AUS,1974-07-04
Coby Miller                             ,MILLECOB01,USA,1979-06-21
Courtney Shealy                         ,SHEALCOU01,USA,1981-05-01
Cristina Teuscher                       ,TEUSCCRI01,USA,1971-08-04
Curtis Myden                            ,MYDENCUR01,CAN,1978-04-07
Dana Vollmer                            ,VOLLMDAN01,USA,1980-07-07
Daniel Gyurta                           ,GYURTDAN01,HUN,1973-03-16
Daniel Kowalski                         ,KOWALDAN01,AUS,1985-10-05
Daniela Gotz                            ,GOTZDAN01 ,GER,1984-08-25
Danila Burkenya                         ,BURKEDAN02,RUS,1973-11-19
Danny McFarlane                         ,MCFARDAN01,JAM,1975-10-27
Danny McFarlane                         ,MCFARDAN02,JAM,1983-09-22
Dara Torres                             ,TORREDAR01,USA,1975-07-07
Darian Townsend                         ,TOWNSDAR01,RSA,1975-08-06
Darold Williamson                       ,WILLIDAR01,USA,1971-11-07
Darren Campbell                         ,CAMPBDAR01,GBR,1975-08-15
David Davies                            ,DAVIEDAV01,GBR,1978-07-14
Davide Rummolo                          ,RUMMODAV01,ITA,1985-02-21
Debbie Ferguson                         ,FERGUDEB01,BAH,1983-10-06
Deedee Trotter                          ,TROTTDEE01,USA,1974-01-23
Deena Kastor                            ,KASTODEE01,USA,1971-02-26
Deji Aliu                               ,ALIUDEJ01 ,NGR,1977-09-11
Denis Kapustin                          ,KAPUSDEN01,RUS,1978-10-07
Denis Nizhegorodov                      ,NIZHEDEN01,RUS,1976-09-08
Denise Lewis                            ,LEWISDEN01,GBR,1976-10-09
Denys Sylantyev                         ,SYLANDEN01,UKR,1978-12-25
Deon Hemmings                           ,HEMMIDEO01,JAM,1978-10-14
Derartu Tulu                            ,TULUDER01 ,ETH,1978-11-05
Derrick Brew                            ,BREWDER01 ,USA,1980-02-23
Diana Mocanu                            ,MOCANDIA01,ROM,1982-12-16
Diana Munz                              ,MUNZDIA01 ,USA,1975-11-22
Dmitriy Karpov                          ,KARPODMI01,KAZ,1981-05-13
Domenico Fioravanti                     ,FIORADOM01,ITA,1980-07-04
Duje Draganja                           ,DRAGADUJ01,CRO,1979-06-19
Dwight Phillips                         ,PHILLDWI01,USA,1980-06-12
Dyana Calub                             ,CALUBDYA01,AUS,1983-08-02
Ed Moses                                ,MOSESED01 ,USA,1980-09-25
Edson Ribeiro                           ,RIBEIEDS01,BRA,1984-12-12
