"source","id","title","description","manufacturer","price"
"amazon","b000jz4hqo","clickart 950 000 - premier image pack (dvd-rom)",,"broderbund",0
"amazon","b0006zf55o","ca international - arcserve lap/desktop oem 30pk","oem arcserve backup v11.1 win 30u for laptops and desktops","computer associates",0
"amazon","b00004tkvy","noah's ark activity center (jewel case ages 3-8)",,"victory multimedia",0
"amazon","b000g80lqo","peachtree by sage premium accounting for nonprofits 2007","peachtree premium accounting for nonprofits 2007 is the affordable easy to use accounting solution that provides you with donor/grantor management. if you're like most nonprofit organizations you're constantly striving to maximize each and every dollar of your annual operating budget. financial reporting by programs and funds advanced operational reporting and the rock-solid core accounting features that have made peachtree the choice of hundreds of thousands of small businesses. the result is an accounting solution tailor-made for the challenges of operating a nonprofit organization. keep an audit trail to record and report on any changes made to your transactions improve data integrity with prior period locking archive your organization's data for snap shots of your data before you closed your year set up individual user profiles with password protection peachtree restore wizard restores all backed-up data files plus web transactions and customized forms includes all standard accounting features - general ledger accounts receivable &accounts payable; payroll solutions; time & billing and job costing; fixed assets; analysis and reporting & customization easily convert from quickbooks","sage software",599.99
"amazon","b0006se5bq","singing coach unlimited","singing coach unlimited - electronic learning products (win me nt 2000 xp)","carry-a-tune technologies",99.99
"amazon","b000ehpzv8","emc retrospect 7.5 disk to disk windows","emc retrospect 7.5 disk to diskcromwindows","dantz",0
"amazon","b00021xhzw","adobe after effects professional 6.5 upgrade from standard to professional","upgrade only; installation of after effects standard new disk caching tools speed up your interactive work save any combination of animation parameters as presets -- create transformations masks expressions effects and text tighter integration with other adobe tools - import photoshop cs and illustrator cs files with preserved layers and other attributes output to firewire for easier previewing on ntsc and pal video monitors","adobe",499.99
"amazon","b000gzwjgc","acad upgrade dragon naturallyspeaking pro solution 9.0 (a289a-fd7-9.0)","- marketing information: dragon naturallyspeakingprofessional 9 will saveyou and your organizationmoney because itempowers anyone tocreate documents overthree times faster thantyping. it also protectsagainst repetitive stressinjuries that result in lostproductivity higher workers compensationpremiums and higher temporary labor costs.the accuracy performance and ease-of-use indragon naturallyspeaking professional 9make it the ideal solution for busy corporateprofessionals. you and your employees canuse dragon naturallyspeaking professionalto create documents and email messages write reports and complete forms all by voice. product information - software sub type: voice recognition - software name: dragon naturallyspeaking v.9.0 professional - upgrade - features and benefits: - the most accurate ever - faster and safer than typing - section 508 certified - easy to use - no special user training required - support for citrix thin-client environments - enterprise ready - ease of administration - mobility - bluetooth support - robust customization - natural language capabilities - text to speech - language support: english - platform support: pc miscellaneous - compatibility: - microsoft office applications: word excel outlook andpowerpoint - corel wordperfect","nuance academic",399.54
"amazon","b0000dbykm","mia's math adventure: just in time","in mia's math adventure: just in time children will help mia save her house by using their math skills!","kutoka",19.99
"amazon","b00029bqa2","disney's 1st & 2nd grade bundle (pixar 1st grade secret keys and aladdin reading quest)","disney's 1st & 2nd grade bundle will help your child learn while challenging their imagination. skill-building activities will develop a love of education in your child. features disney/pixar buzz lightyear learning 1st grade aladdin reading quest and disney's search for the secret keys.","disney",14.99
